Heart Rate,Time,Student,Temperature
88.37,13:59:23,S5,33.97
95.38,13:59:23,S6,32.71
79.77,13:59:23,S7,27.73
85.62,13:59:23,S8,33.68
143.15,13:59:23,S9,33.95
98.13,13:59:24,S1,31.03
76.88,13:59:24,S10,30.11
97.87,13:59:24,S2,34.37
80.25,13:59:24,S3,32.25
99.43,13:59:24,S4,32.03
88.67,13:59:24,S5,33.97
95.8,13:59:24,S6,32.71
79.93,13:59:24,S7,27.73
86.22,13:59:24,S8,33.68
143.93,13:59:24,S9,33.95
98.77,13:59:25,S1,31.03
76.7,13:59:25,S10,30.11
98.05,13:59:25,S2,34.37
80.38,13:59:25,S3,32.25
